0	0	0.000000
0	1	0.002041
0	2	0.008163
0	3	0.018367
0	4	0.032653
0	5	0.051020
0	6	0.073469
0	7	0.100000
0	8	0.130612
0	9	0.165306
0	10	0.204082
0	11	0.246939
0	12	0.293878
0	13	0.344898
0	14	0.400000
0	15	0.459184
0	16	0.522449
0	17	0.589796
0	18	0.661224
0	19	0.736735
0	20	0.816327
0	21	0.900000
0	22	0.987755
0	23	1.079592
0	24	1.175510
0	25	1.275510
0	26	1.379592
0	27	1.487755
0	28	1.600000
0	29	1.716327
0	30	1.836735
0	31	1.961224
0	32	2.089796
0	33	2.222449
0	34	2.359184
0	35	2.500000
0	36	2.644898
0	37	2.793878
0	38	2.946939
0	39	3.104082
0	40	3.265306
0	41	3.430612
0	42	3.600000
0	43	3.773469
0	44	3.951020
0	45	4.132653
0	46	4.318367
0	47	4.508163
0	48	4.702041
0	49	4.900000
0	50	5.102041
0	51	5.308163
0	52	5.518367
0	53	5.732653
0	54	5.951020
0	55	6.173469
0	56	6.400000
0	57	6.630612
0	58	6.865306
0	59	7.104082
0	60	7.346939
0	61	7.593878
0	62	7.844898
0	63	8.100000
0	64	8.359184
0	65	8.622449
0	66	8.889796
0	67	9.161224
0	68	9.436735
0	69	9.716327

1	0	0.000000
1	1	0.011118
1	2	0.024270
1	3	0.040252
1	4	0.059437
1	5	0.082024
1	6	0.108132
1	7	0.137841
1	8	0.171202
1	9	0.208254
1	10	0.249025
1	11	0.293535
1	12	0.341800
1	13	0.393831
1	14	0.449636
1	15	0.509221
1	16	0.572590
1	17	0.639744
1	18	0.710684
1	19	0.785410
1	20	0.863919
1	21	0.946210
1	22	1.032277
1	23	1.122116
1	24	1.215722
1	25	1.313087
1	26	1.414204
1	27	1.519064
1	28	1.627656
1	29	1.739970
1	30	1.855992
1	31	1.975708
1	32	2.099102
1	33	2.226156
1	34	2.356850
1	35	2.491160
1	36	2.629061
1	37	2.770523
1	38	2.915514
1	39	3.063995
1	40	3.215924
1	41	3.371251
1	42	3.529918
1	43	3.691861
1	44	3.857002
1	45	4.025253
1	46	4.196509
1	47	4.370645
1	48	4.547513
1	49	4.726937
1	50	4.908701
1	51	5.092544
1	52	5.278141
1	53	5.465089
1	54	5.652875
1	55	5.840842
1	56	6.028132
1	57	6.213601
1	58	6.395694
1	59	6.572233
1	60	6.740084
1	61	6.894553
1	62	7.028295
1	63	7.129150
1	64	7.175533
1	65	7.125645
1	66	6.889474
1	67	6.247808
1	68	4.591738
1	69	0.000000

2	0	0.000000
2	1	0.018164
2	2	0.037546
2	3	0.058937
2	4	0.082822
2	5	0.109509
2	6	0.139200
2	7	0.172033
2	8	0.208105
2	9	0.247489
2	10	0.290235
2	11	0.336384
2	12	0.385965
2	13	0.438999
2	14	0.495502
2	15	0.555485
2	16	0.618955
2	17	0.685916
2	18	0.756369
2	19	0.830312
2	20	0.907743
2	21	0.988654
2	22	1.073039
2	23	1.160887
2	24	1.252187
2	25	1.346926
2	26	1.445087
2	27	1.546654
2	28	1.651605
2	29	1.759918
2	30	1.871569
2	31	1.986528
2	32	2.104763
2	33	2.226238
2	34	2.350914
2	35	2.478743
2	36	2.609677
2	37	2.743655
2	38	2.880613
2	39	3.020475
2	40	3.163157
